id,trial,distance.moved,mean.velocity,time.in.periphery,time.in.center,left.visits.object,left.time.object,left.latency.object,right.visits.object,right.time.object,right.latency.object,freezes,time.freezing,zone.changes,object.side.my.view,object.side.etho.view,time.with.trained.object,time.with.untrained.object,latency.trained.object,latency.untrained.object,prop.time.trained.object,visits.trained.object,visits.untrained.object,rewarding.object.colour,first.choice,distance.moved.in.periphery,distance.moved.in.center,ate,trial.type
w1,1,963.589,3.24779,251.246,47.6466,9,22.422,20.42,6,15.0147,59.6584,73,79.4778,105,L,R,15.0147,22.422,59.6584,20.42,0.401069004,6,9,blue,untrained,870.444,93.145,no,training
w3,1,317.069,4.20104,76.4749,4.00392,3,7.60745,31.631,2,4.60451,3.20314,10,2.20216,21,L,R,4.60451,7.60745,3.20314,31.631,0.377049221,2,3,blue,trained,303.446,13.623,no,training
e1,1,1142.19,3.82397,274.869,24.0235,4,14.6143,59.258,14,51.8508,3.80372,52,20.42,137,L,R,51.8508,14.6143,3.80372,59.258,0.780120695,14,4,blue,trained,1040.32,101.87,no,training
e2,1,1056.44,3.58009,256.251,42.0412,14,47.8468,0,7,19.2188,36.8361,64,29.8292,128,R,L,47.8468,19.2188,0,36.8361,0.713432818,14,7,blue,trained,883.961,172.479,no,training
e3,1,1070.38,3.89982,281.476,11.8116,8,22.0216,96.4945,9,24.8243,8.00784,43,11.6114,114,L,R,24.8243,22.0216,8.00784,96.4945,0.529914037,9,8,blue,trained,1032.31,38.07,no,training
a1,1,1273.84,4.26472,239.034,59.8586,12,33.4327,22.8223,9,17.0167,55.8547,65,17.8174,170,L,R,17.0167,33.4327,55.8547,22.8223,0.337302327,9,12,blue,untrained,1041.4,232.44,no,training
a2,1,1328.23,4.47683,269.063,29.629,11,31.0304,12.6123,9,19.2188,30.8302,28,7.00686,159,L,R,19.2188,31.0304,30.8302,12.6123,0.382469771,9,11,blue,untrained,1129.72,198.51,no,training
a3,1,1666.25,6.01814,285.279,12.8125,17,22.2218,1.40137,7,15.6153,11.211,11,3.60353,213,R,L,22.2218,15.6153,1.40137,11.211,0.587301881,17,7,blue,trained,1557.15,109.1,no,training
b1,1,606.587,2.03081,265.06,33.8331,2,11.8116,61.4602,3,17.6172,97.2953,105,119.517,58,R,L,11.8116,17.6172,61.4602,97.2953,0.401361931,2,3,blue,trained,539.528,67.059,no,training
b2,1,857.423,2.88412,276.27,22.422,7,26.4259,25.8253,4,13.2129,91.0892,73,69.0676,96,L,R,13.2129,26.4259,91.0892,25.8253,0.333332492,4,7,blue,untrained,811.875,45.548,no,training
b3,1,1237.77,4.20885,229.825,68.6672,14,41.841,27.627,10,32.2316,46.8459,49,22.8223,155,L,R,32.2316,41.841,46.8459,27.627,0.435135259,10,14,blue,untrained,1028.17,209.6,yes,training
c1,1,948.768,3.1764,270.064,28.8282,8,25.4249,9.8096,9,24.0235,45.4445,83,39.4386,113,L,R,24.0235,25.4249,45.4445,9.8096,0.485829673,9,8,green,untrained,853.325,95.443,no,training
c2,1,1109.29,3.80044,284.479,13.8135,7,63.4621,12.4122,7,18.6182,109.908,81,24.2237,117,R,L,63.4621,18.6182,12.4122,109.908,0.773170907,7,7,green,trained,1032.88,76.41,yes,training
c3,1,1805.75,6.5695,274.068,23.6231,13,24.2237,32.0314,17,24.0235,0,36,13.2129,242,R,L,24.2237,24.0235,32.0314,0,0.502074732,13,17,green,untrained,1672.13,133.62,no,training
x1,1,991.416,3.31919,232.027,66.8655,6,12.4122,93.2913,8,81.2796,0,61,65.0637,103,L,R,81.2796,12.4122,0,93.2913,0.867520957,8,6,green,trained,836.422,154.994,yes,training
x2,1,899.362,3.011,258.853,40.0392,6,14.4141,91.2894,8,57.4563,0,86,42.4416,99,L,R,57.4563,14.4141,0,91.2894,0.799443164,8,6,green,trained,749.674,149.688,no,training
x3,1,496.024,3.54463,132.33,8.80862,6,16.4161,20.2198,1,2.40235,80.8792,54,14.6143,30,R,L,16.4161,2.40235,20.2198,80.8792,0.872340708,6,1,green,trained,483.638,12.386,no,training
v1,1,527.021,1.76798,295.489,3.40333,4,9.60941,38.4376,4,23.0225,0,112,166.963,38,L,R,23.0225,9.60941,0,38.4376,0.705521068,4,4,green,trained,508.87,18.151,no,training
v2,1,711.204,2.39389,210.606,88.0862,6,15.4151,27.627,6,19.0186,0,113,103.501,70,L,R,19.0186,15.4151,0,27.627,0.552325193,6,6,green,trained,645.083,66.121,no,training
v3,1,415.842,4.25651,92.4906,11.0108,7,32.4318,0.400392,1,2.80274,180.777,21,25.8253,31,R,L,32.4318,2.80274,0.400392,180.777,0.920454758,7,1,green,trained,391.119,24.723,no,training
g1,1,698.221,2.33759,279.474,19.419,5,22.6221,9.8096,4,16.0157,35.0343,76,75.2737,64,R,L,22.6221,16.0157,9.8096,35.0343,0.58549141,5,4,green,trained,656.053,42.168,no,training
g2,1,1187.37,3.97524,271.266,27.627,10,25.8253,32.6319,6,16.2159,50.8498,69,24.2237,128,R,L,25.8253,16.2159,32.6319,50.8498,0.61428551,10,6,green,trained,1008.31,179.06,no,training
g3,1,991.236,3.45522,279.273,17.4171,7,19.0186,38.4376,2,25.2247,82.6809,52,28.0274,109,L,R,25.2247,19.0186,82.6809,38.4376,0.570136043,2,7,green,untrained,962.003,29.233,no,training
w1,2,945.388,3.16509,282.677,16.2159,8,22.0216,26.0255,5,17.0167,8.80862,14,20.42,102,R,L,22.0216,17.0167,26.0255,8.80862,0.564102433,8,5,blue,untrained,899.805,45.583,no,training
w2,2,1044.95,3.49843,257.652,41.2404,9,29.629,108.106,13,35.0343,5.80568,10,12.4122,126,R,L,29.629,35.0343,108.106,5.80568,0.458204267,9,13,blue,untrained,865.248,179.702,no,training
w3,2,1503.13,5.03235,268.463,30.4298,10,24.6241,12.6123,8,17.0167,33.4327,3,5.60549,180,L,R,17.0167,24.6241,33.4327,12.6123,0.408654493,8,10,blue,untrained,1359.2,143.93,no,training
e1,2,1021.01,3.41826,249.244,49.4484,5,22.0216,4.60451,20,81.4798,38.2374,10,11.6114,115,L,R,81.4798,22.0216,38.2374,4.60451,0.787233796,20,5,blue,untrained,844.898,176.112,no,training
e2,2,1004.75,3.36383,248.643,50.2492,6,20.8204,32.6319,6,19.2188,14.6143,18,19.8194,121,L,R,19.2188,20.8204,14.6143,32.6319,0.4799996,6,6,blue,trained,836.251,168.499,no,training
e3,2,1126.64,3.77191,284.879,14.0137,9,28.2276,37.4367,12,44.8439,9.40921,4,1.40137,131,L,R,44.8439,28.2276,9.40921,37.4367,0.613698911,12,9,blue,trained,1042.1,84.54,no,training
a1,2,993.125,3.32491,247.843,51.05,9,33.0323,46.6457,5,19.2188,176.172,10,17.6172,121,R,L,33.0323,19.2188,46.6457,176.172,0.63218382,9,5,blue,trained,849.313,143.812,no,training
a2,2,992.685,3.32344,221.417,77.4759,9,33.4327,4.20412,9,27.8272,31.8312,8,5.0049,122,R,L,33.4327,27.8272,4.20412,31.8312,0.545751789,9,9,blue,trained,750.284,242.401,no,training
a3,2,1427.36,4.77869,287.882,9.8096,15,30.0294,22.6221,15,29.629,14.0137,3,3.60353,162,R,L,30.0294,29.629,22.6221,14.0137,0.503355772,15,15,blue,untrained,1367.17,60.19,no,training
b1,2,424.499,1.42119,178.174,120.718,1,3.00294,177.974,2,7.20706,13.8135,20,109.107,36,R,L,3.00294,7.20706,177.974,13.8135,0.294117532,1,2,blue,untrained,325.849,98.65,no,training
b2,2,886.054,2.96644,221.617,77.2757,6,22.6221,63.6623,11,48.4474,36.2355,19,36.8361,108,R,L,22.6221,48.4474,63.6623,36.2355,0.318309542,6,11,blue,untrained,721.118,164.936,no,training
b3,2,956.801,3.2033,173.37,125.122,13,52.2512,78.0764,11,47.6466,21.2208,10,19.2188,120,R,L,52.2512,47.6466,78.0764,21.2208,0.523046554,13,11,blue,untrained,593.446,363.355,no,training
c1,2,1106.87,3.70573,270.865,28.0274,10,28.0274,32.6319,10,44.0431,13.0127,10,5.60549,141,L,R,44.0431,28.0274,13.0127,32.6319,0.611111342,10,10,green,trained,968.236,138.634,no,training
c2,2,911.521,3.05991,278.272,20.42,3,7.20706,61.26,14,82.4808,6.80666,6,2.80274,79,L,R,82.4808,7.20706,6.80666,61.26,0.919642859,14,3,green,trained,828.472,83.049,no,training
c3,2,1953.03,6.5386,281.075,17.6172,14,26.2257,28.8282,16,31.2306,0,1,0.400392,249,L,R,31.2306,26.2257,0,28.8282,0.543553971,16,14,green,trained,1855.73,97.3,no,training
x1,2,1205.39,4.03556,272.867,26.0255,9,23.8233,14.0137,11,34.0333,28.628,9,18.2178,145,R,L,23.8233,34.0333,14.0137,28.628,0.411764604,9,11,green,trained,1050.4,154.99,no,training
x2,2,735.236,2.46152,248.643,50.2492,3,10.4102,32.2316,8,33.8331,18.2178,19,46.0451,86,R,L,10.4102,33.8331,32.2316,18.2178,0.235294384,3,8,green,untrained,576.444,158.792,no,training
x3,2,548.733,2.37932,228.223,3.00294,3,8.80862,187.784,4,14.2139,104.903,14,22.422,43,L,R,14.2139,8.80862,104.903,187.784,0.617391146,4,3,green,trained,531.674,17.059,no,training
v1,2,436.205,1.46038,281.476,17.4171,4,112.11,1.40137,2,11.0108,142.54,32,76.8753,27,R,L,112.11,11.0108,1.40137,142.54,0.910569132,4,2,green,trained,425.298,10.907,no,training
v2,2,861.348,2.88373,249.044,49.048,12,44.0431,2.80274,7,30.4298,58.0568,9,11.211,95,R,L,44.0431,30.4298,2.80274,58.0568,0.591397676,12,7,green,trained,696.456,164.892,no,training
v3,2,943.355,3.15828,273.268,25.2247,9,23.6231,15.4151,3,7.80764,57.4563,8,34.8341,97,L,R,7.80764,23.6231,57.4563,15.4151,0.248407769,3,9,green,untrained,878.758,64.597,no,training
g1,2,598.172,2.00264,277.071,21.8214,2,6.60647,50.2492,3,23.2227,75.0735,23,68.6672,49,L,R,23.2227,6.60647,75.0735,50.2492,0.77852317,3,2,green,untrained,566.728,31.444,no,training
g2,2,996.669,3.33678,279.273,19.2188,7,17.8174,9.00882,11,39.4386,24.4239,13,21.2208,116,L,R,39.4386,17.8174,24.4239,9.00882,0.688811653,11,7,green,untrained,897.795,98.874,no,training
g3,2,850.047,2.8459,280.475,16.2159,5,12.6123,48.4474,3,6.00588,27.4269,13,19.2188,71,R,L,12.6123,6.00588,48.4474,27.4269,0.677418523,5,3,green,untrained,825.763,24.284,no,training
w1,3,538.017,1.80124,263.858,35.0343,8,97.4955,0,5,20.0196,140.337,17,102.3,42,R,L,97.4955,20.0196,0,140.337,0.829642318,8,5,blue,trained,475.117,62.9,no,training
w2,3,808.629,2.70723,226.622,71.47,9,34.4337,25.0245,8,79.678,53.0519,14,49.8488,81,R,L,34.4337,79.678,25.0245,53.0519,0.301754334,9,8,blue,trained,650.634,157.995,no,training
w3,3,1105.87,3.70239,256.851,41.841,2,3.00294,73.2717,13,41.4406,0,9,7.00686,116,R,L,3.00294,41.4406,73.2717,0,0.067567525,2,13,blue,untrained,963.881,141.989,no,training
e1,3,794.566,2.66015,218.814,80.0784,8,44.4435,109.908,8,28.2276,0,12,12.212,87,L,R,28.2276,44.4435,0,109.908,0.388429513,8,8,blue,trained,572.46,222.106,no,training
e2,3,730.035,2.4441,234.83,64.0627,3,11.6114,85.2835,7,49.6486,33.2325,19,26.0255,73,L,R,49.6486,11.6114,33.2325,85.2835,0.810457068,7,3,blue,trained,557.248,172.787,no,training
