"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type"
"NA","1a","pair-a","left",0,803.308,2.67686,21,145.743,11.0108,21,154.551,0,9,47.2463,32.4318,7,22.2218,19.6192,"blue","right",22.2218,47.2463,25.0245,-25.0245,0.319884954389137,69.4681,300.294,"test"
"NA","1b","pair-a","right",0,1335.94,4.45176,9,288.082,0,8,12.212,8.80862,13,42.2414,8.00784,9,19.0186,30.2296,"green","left",42.2414,19.0186,23.2228,23.2228,0.689542931766242,61.26,300.294,"test"
"NA","2a","pair-a","left",0,1053.92,3.51197,15,230.426,3.20314,15,69.8684,0,10,34.0333,13.8135,9,30.2296,42.8419,"blue","right",30.2296,34.0333,3.8037,-3.8037,0.470405163788127,64.2629,300.2944,"test"
"NA","2b","pair-a","left",0,1408.19,4.71451,8,283.478,0,7,16.0157,23.6231,9,18.418,15.6153,10,22.422,0,"blue","right",22.422,18.418,-4.004,4.004,0.549020568070519,40.84,299.4937,"test"
"NA","3a","pair-a","right",0,1300.57,4.33387,10,273.468,0,9,26.8263,11.211,11,27.0265,24.8243,12,40.84,0,"blue","left",27.0265,40.84,13.8135,-13.8135,0.398230349288677,67.8665,300.2943,"test"
"NA","3b","pair-a","left",0,1139.34,3.79663,13,254.049,0,12,46.2453,15.0147,17,47.0461,34.4337,11,31.8312,4.40431,"green","right",31.8312,47.0461,-15.2149,-15.2149,0.403553367065049,78.8773,300.2943,"test"
"NA","4a","pair-a","right",0,906.284,3.02202,14,225.421,0,13,74.8733,4.40431,8,22.6221,0,10,52.4514,49.8488,"green","left",22.6221,52.4514,-29.8293,-29.8293,0.301332693959919,75.0735,300.2943,"test"
"NA","4b","pair-a","left",0,1271.1,4.24416,15,248.844,2.80274,15,51.4504,0,10,32.0314,30.63,7,27.8272,0,"green","right",27.8272,32.0314,-4.2042,-4.2042,0.464882239143582,59.8586,300.2944,"test"
"NA","5a","pair-a","left",0,1505.29,5.01606,9,255.25,0,8,45.0441,12.212,16,44.0431,17.2169,11,26.6261,48.6476,"green","right",26.6261,44.0431,-17.417,-17.417,0.376770927079973,70.6692,300.2941,"test"
"NA","5b","pair-a","left",0,1802.95,6.00795,9,279.273,0,8,21.0206,20.6202,14,32.6319,15.6153,14,27.0265,3.40333,"blue","right",27.0265,32.6319,5.6054,-5.6054,0.453020865460689,59.6584,300.2936,"test"
"NA","6a","pair-a","right",0,1713.14,5.7087,6,287.882,0,5,12.4122,0.600588,14,26.4259,0,14,34.2335,5.80568,"green","left",26.4259,34.2335,-7.8076,-7.8076,0.43564393976861,60.6594,300.2942,"test"
"NA","6b","pair-a","right",0,1373.95,4.57839,9,283.678,0,8,16.6163,1.20118,12,25.4249,1.80176,6,23.8233,11.6114,"green","left",25.4249,23.8233,1.6016,1.6016,0.516260492769279,49.2482,300.2943,"test"
"NA","7a","pair-a","left",0,948.2,3.15968,16,252.848,0,15,47.4465,0.200196,11,47.8468,0,10,33.2325,15.4151,"blue","right",33.2325,47.8468,14.6143,-14.6143,0.40987650362053,81.0793,300.2945,"test"
"NA","7b","pair-a","right",0,1189.17,3.96267,9,253.849,15.6153,9,46.4455,0,9,28.2276,59.8586,8,30.0294,28.628,"blue","left",28.2276,30.0294,1.8018,-1.8018,0.484535763942531,58.257,300.2945,"test"
"NA","8a","pair-a","right",0,1482.07,4.93868,6,290.084,0,5,10.21,21.8214,15,31.0304,2.20216,10,24.0235,9.8096,"green","left",31.0304,24.0235,7.0069,7.0069,0.563636726916713,55.0539,300.294,"test"
"NA","8b","pair-a","right",0,1488.68,4.9607,8,278.873,2.00196,8,21.421,0,16,41.2404,4.8047,10,25.4249,15.6153,"blue","left",41.2404,25.4249,-15.8155,15.8155,0.618618681682975,66.6653,300.294,"test"
"no","1a","pair-3","right",1,717.995,2.39257,14,127.325,2.20216,15,172.969,0,8,65.6643,0,8,40.6398,51.05,"blue","left",65.6643,40.6398,-25.0245,25.0245,0.617702421637547,106.3041,300.294,"training"
"no","1b","pair-3","left",1,1078.37,3.59344,13,260.655,0,12,39.6388,16.0157,6,18.418,41.4406,11,92.2904,0,"green","right",92.2904,18.418,73.8724,73.8724,0.833635026791102,110.7084,300.2938,"training"
"yes","2a","pair-3","right",1,186.639,0.621937,1,274.269,26.0255,1,26.0255,0,1,254.049,46.2453,0,0,NA,"blue","left",254.049,0,-254.049,254.049,1,254.049,300.2945,"training"
"no","2b","pair-3","right",1,979.542,3.26412,18,243.438,2.60255,18,56.8557,0,11,72.8713,12.212,7,48.047,74.8733,"blue","left",72.8713,48.047,-24.8243,24.8243,0.602649061391038,120.9183,300.2937,"training"
"yes","3a","pair-3","left",1,508.944,1.69595,14,212.608,0.200196,15,87.6858,0,1,7.60745,281.676,7,212.408,25.4249,"blue","right",212.408,7.60745,-204.80055,204.80055,0.965423110058862,220.01545,300.2938,"training"
"no","3b","pair-3","right",1,949.932,3.16545,11,221.016,0,11,79.2776,13.8135,8,31.2306,11.0108,11,71.2698,26.8263,"green","left",31.2306,71.2698,-40.0392,-40.0392,0.304687591463058,102.5004,300.2936,"training"
"no","4a","pair-3","left",1,722.445,2.4074,22,101.9,0,22,198.394,0.200196,13,84.4827,0.800784,5,30.2296,125.122,"green","right",30.2296,84.4827,-54.2531,-54.2531,0.263525358658139,114.7123,300.294,"training"
"no","4b","pair-3","right",1,1192.09,3.97239,8,268.463,0,7,31.8312,16.0157,8,26.0255,16.0157,12,22.6221,25.6251,"green","left",26.0255,22.6221,3.4034,3.4034,0.534980142905303,48.6476,300.2942,"training"
"no","5a","pair-3","right",1,1440.55,4.80034,12,268.663,0,11,31.631,5.40529,14,38.2374,14.8145,13,33.4327,3.40333,"green","left",38.2374,33.4327,4.8047,4.8047,0.533519556970061,71.6701,300.294,"training"
"no","5b","pair-3","right",1,1799.09,5.99508,8,289.083,0,7,11.211,1.20118,13,22.422,12.6123,20,24.0235,4.20412,"blue","left",22.422,24.0235,1.6015,-1.6015,0.482759363124522,46.4455,300.294,"training"
"no","6a","pair-3","left",1,1286.62,4.28741,18,229.224,2.00196,19,71.0696,0,14,35.6349,18.8184,7,22.422,9.60941,"green","right",22.422,35.6349,-13.2129,-13.2129,0.386207324194023,58.0569,300.2936,"training"
"no","6b","pair-3","left",1,1040.47,3.46715,3,297.091,0,2,3.20314,4.8047,7,18.6182,12.4122,27,36.0353,2.80274,"green","right",36.0353,18.6182,17.4171,17.4171,0.659341121794579,54.6535,300.29414,"training"
"yes","7a","pair-3","right",1,766,2.55253,13,228.624,0,12,71.6702,3.40333,8,81.0794,38.0372,8,25.4249,3.40333,"blue","left",81.0794,25.4249,-55.6545,55.6545,0.76127818313439,106.5043,300.2942,"training"
"no","7b","pair-3","left",1,991.594,3.30428,12,266.861,0,11,33.4327,9.8096,11,36.0353,4.20412,9,22.2218,24.4239,"blue","right",22.2218,36.0353,13.8135,-13.8135,0.381443635196397,58.2571,300.2937,"training"
"yes","8a","pair-3","left",1,910.187,3.03301,21,234.63,1.00098,21,65.6643,0,5,10.4102,0.800784,12,182.579,15.4151,"green","right",182.579,10.4102,172.1688,172.1688,0.946058121387104,192.9892,300.2943,"training"
"no","8b","pair-3","left",1,1142.91,3.80852,3,299.293,0,2,1.00098,0.400392,9,30.0294,0.400392,9,17.4171,12.6123,"blue","right",17.4171,30.0294,12.6123,-12.6123,0.367089247889728,47.4465,300.29398,"training"
"yes","1a","pair-4","left",2,333.491,1.11129,9,250.846,2.00196,9,49.4484,0,3,27.0265,229.625,2,223.819,0,"blue","right",223.819,27.0265,-196.7925,196.7925,0.892258382151563,250.8455,300.2944,"training"
"yes","1b","pair-4","left",2,584.056,1.94624,16,194.991,0,15,105.303,9.20902,4,25.6251,8.40823,7,190.386,65.0637,"green","right",190.386,25.6251,164.7609,164.7609,0.88137137397106,216.0111,300.294,"training"
"yes","2a","pair-4","right",2,444.224,1.48028,10,244.64,0.200196,10,55.6545,0,1,167.564,132.73,3,43.6427,8.80862,"blue","left",167.564,43.6427,-123.9213,123.9213,0.793364983213127,211.2067,300.2945,"training"
"yes","2b","pair-4","right",2,196.132,0.65357,10,246.842,0,9,53.4523,6.40627,4,288.082,6.40627,0,0,NA,"blue","left",288.082,0,-288.082,288.082,1,288.082,300.2943,"training"
"yes","3a","pair-4","left",2,355.208,1.18366,11,274.869,5.40529,11,25.4249,0,1,1.80176,3.60353,2,271.666,17.0167,"blue","right",271.666,1.80176,-269.86424,269.86424,0.993411435410156,273.46776,300.2939,"training"
"yes","3b","pair-4","right",2,1064.39,3.54686,21,230.626,0,20,69.6682,0.200196,12,64.4631,46.6457,13,33.0323,0.200196,"green","left",64.4631,33.0323,31.4308,31.4308,0.661191194661492,97.4954,300.2942,"training"
"yes","4a","pair-4","left",2,573.576,1.91132,10,208.204,0,9,92.0902,73.0715,6,44.6437,70.8694,6,96.0941,24.2237,"green","right",96.0941,44.6437,51.4504,51.4504,0.682788135099454,140.7378,300.2942,"training"
"yes","4b","pair-4","left",2,725.482,2.41752,19,198.594,0,18,101.7,8.40823,4,13.0127,8.40823,12,109.707,41.841,"green","right",109.707,13.0127,96.6943,96.6943,0.893964049781738,122.7197,300.294,"training"
"yes","5a","pair-4","right",2,667.614,2.23064,30,189.586,0,29,109.908,3.40333,10,43.2423,0,13,90.4886,11.0108,"green","left",43.2423,90.4886,-47.2463,-47.2463,0.323353091918173,133.7309,299.494,"training"
"no","5b","pair-4","left",2,1414.98,4.71511,17,238.634,1.20118,16,61.4602,0,14,33.6329,0,11,21.8214,14.0137,"blue","right",21.8214,33.6329,11.8115,-11.8115,0.393502397469628,55.4543,300.0942,"training"
"yes","6a","pair-4","right",2,695.874,2.31885,20,202.999,0,19,97.2953,7.00686,7,187.784,1.20118,2,5.0049,24.0235,"green","left",187.784,5.0049,182.7791,182.7791,0.974039480488763,192.7889,300.2943,"training"
"no","6b","pair-4","left",2,897.745,2.99155,26,160.958,0,25,139.336,7.20706,9,42.4416,173.57,9,67.8664,13.0127,"green","right",67.8664,42.4416,25.4248,25.4248,0.615244587881205,110.308,300.294,"training"
"yes","7a","pair-4","left",2,538.081,1.79304,14,224.62,0,13,75.6741,2.20216,4,22.0216,23.6231,4,205.201,46.0451,"blue","right",205.201,22.0216,-183.1794,183.1794,0.903083584115312,227.2226,300.2941,"training"
"no","7b","pair-4","left",2,396.488,1.32121,6,165.762,0,5,134.532,17.2169,5,40.4396,30.2296,3,51.4504,0,"blue","right",51.4504,40.4396,-11.0108,11.0108,0.559912939384046,91.89,300.294,"training"
"yes","8a","pair-4","right",2,865.405,2.88378,28,177.974,5.60549,28,122.32,0,7,86.8851,166.163,10,69.8684,10.0098,"green","left",86.8851,69.8684,17.0167,17.0167,0.554278532855726,156.7535,300.294,"training"
"no","8b","pair-4","right",2,1049.24,3.49636,13,291.686,0,6,7.00686,0.800784,11,41.4406,5.40529,11,14.0137,0,"blue","left",41.4406,14.0137,-27.4269,27.4269,0.747292815886234,55.4543,298.69286,"training"
"yes","1a","pair-3","right",3,504.553,1.68132,12,193.389,0.400392,13,106.905,0,4,125.723,9.00882,3,31.631,18.0176,"blue","left",125.723,31.631,-94.092,94.092,0.798981913392732,157.354,300.294,"training"
"no","1b","pair-3","left",3,628.653,2.09485,13,259.654,0,11,40.4396,7.40725,4,15.4151,122.12,5,153.951,6.80666,"green","right",153.951,15.4151,138.5359,138.5359,0.908983556921958,169.3661,300.0936,"training"
"yes","2a","pair-3","left",3,528.76,1.76198,16,176.773,27.0265,16,123.521,0,5,118.316,37.4367,3,34.8341,198.594,"blue","right",34.8341,118.316,83.4819,-83.4819,0.227450716649875,153.1501,300.294,"training"
"no","2b","pair-3","left",3,584.699,1.94839,10,228.824,0,9,71.47,29.4288,7,143.941,13.0127,3,14.4141,76.2747,"blue","right",14.4141,143.941,129.5269,-129.5269,0.0910239076606942,158.3551,300.294,"training"
