id,trial,trained.object,object.colour,sex,object.side.etho.view,distance.moved,mean.velocity,,time.in.periphery,s,,time.in.center,s,,time.with.left.object,s,,time.with.right.object,s,zone.changes
A1,0,Green Tall Brick,green,F,L,2722.02,4.65643,11,562.351,0,10,23.0225,39.0382,19,45.2443,0,18,33.6329,34.6339,353
A2,0,Green Tall Brick,green,F,R,2220.16,3.70776,20,551.54,9.00882,13,45.2443,0,21,62.4612,4.00392,14,47.2463,29.2286,281
A3,0,Green Tall Brick,green,M,L,3212.53,5.36686,21,588.776,0.400392,7,5.80568,0.200196,31,69.468,7.20706,18,30.8302,42.8419,394
B1,0,Yellow Cube,yellow,F,R,1720.12,2.87268,23,464.455,14.8145,23,134.332,0,13,31.8312,40.6398,14,82.2806,54.2531,231
B2,0,Yellow Cube,yellow,F,L,2541.13,4.65464,11,534.523,0.200196,6,11.211,51.4504,23,54.0529,16.8165,21,51.4504,33.6329,317
B3,0,Yellow Cube,yellow,M,R,2776.45,4.6399,31,523.312,11.211,26,73.6721,0.400392,20,39.4386,63.0617,29,109.707,6.60647,362
C1,0,Red Ramp,red,F,R,2202.1,3.67761,15,521.711,0,14,77.2757,20.8204,17,46.4455,79.4778,22,63.0617,4.20412,309
C2,0,Red Ramp,red,F,L,2394.51,3.99894,20,575.163,0,10,21.8214,13.4131,10,21.0206,49.048,20,52.6515,5.80568,279
C3,0,Red Ramp,red,M,R,3826.81,6.39095,27,558.347,0,24,40.0392,4.20412,26,40.2394,42.0412,27,46.4455,11.211,510
D1,0,White Tall Brick,white,F,L,1161.7,1.94009,25,468.258,0,25,130.728,19.0186,17,53.2521,42.2414,15,83.2815,19.0186,160
D2,0,White Tall Brick,white,F,R,3212.36,5.36479,27,573.361,0,11,21.0206,19.6192,16,30.8302,2.80274,30,54.8537,17.6172,407
D3,0,White Tall Brick,white,M,L,2530.09,4.22536,18,548.137,3.40333,16,50.4494,0,22,56.2551,0,21,47.8468,40.6398,331
E1,0,Orange Ramp,orange,F,R,2322.13,3.87806,30,528.317,15.8155,19,66.6653,0,15,52.8517,65.8645,18,42.6417,39.2384,297
E2,0,Orange Ramp,orange,F,L,2565.31,4.28418,49,541.73,1.40137,13,36.4357,0,19,45.4445,31.4308,26,76.4749,0.400392,321
