trial.type,trial,id,population,sex,ate,familiar.object.colour,novel.object.colour,novel.side,rewarded.side,treatment,distance.moved,mean.velocity,periphery.visits,time.in.periphery,latency.periphery,center.visits,time.in.center,latency.center,freezes,time.freezing,left.object.visits,time.with.left.object,latency.left.object,right.object.visits,time.with.right.object,latency.right.object,left.object.large.visits,time.with.left.object.large,latency.left.object.large,right.object.large.visits,time.with.right.object.large,latency.right.object.large,visits.novel.object,time.with.novel.object,latency.novel.object,visits.familiar.object,time.with.familiar.object,latency.familiar.object,time.with.rewarded.object,time.with.unrewarded.object,number.sessions.ate
training,20,B1,AxQ,F,N,red,brown,R,L,familiar,488.274,0.813539,22,482.188,8.59978,22,118.197,0,109,271.793,4,7.7998,19.1995,12,46.3988,50.9987,3,18.7995,15.3996,19,139.397,48.5988,12,46.3988,50.9987,4,7.7998,19.1995,7.7998,46.3988,
training,20,B2,AxQ,F,Y,red,brown,L,L,novel,1622.6,2.70349,61,400.59,8.59978,59,199.195,0,3,1.59996,27,41.399,1.39996,18,13.9996,42.1989,26,136.597,0,35,91.5977,40.199,27,41.399,1.39996,18,13.9996,42.1989,41.399,13.9996,
training,20,G1,AxQ,F,Y,brown,black,L,L,novel,858.541,1.43285,41,143.396,0,41,456.589,1.19997,104,123.997,39,377.191,20.7995,14,21.5995,1.39996,22,450.589,15.5996,14,44.5989,0,39,377.191,20.7995,14,21.5995,1.39996,377.191,21.5995,
training,20,G2,AxQ,F,Y,brown,black,R,L,familiar,628.994,1.048,29,147.596,0,29,452.789,2.39994,98,205.795,19,276.793,19.1995,9,29.7993,2.39994,11,342.191,17.7996,12,83.1979,0,9,29.7993,2.39994,19,276.793,19.1995,276.793,29.7993,
training,20,M1,Paria,F,Y,brown,black,R,L,familiar,139.14,0.444263,7,95.5976,0,15,232.794,18.9995,45,230.194,15,183.395,18.9995,2,44.1989,87.3978,15,193.395,18.1995,2,45.9988,87.3978,2,44.1989,87.3978,15,183.395,18.9995,183.395,44.1989,
training,20,M3,Paria,F,N,brown,black,R,L,familiar,194.636,0.559957,7,38.599,101.397,28,329.192,0,27,236.394,28,292.593,0,4,22.1994,128.797,24,305.192,0,5,33.5992,125.997,4,22.1994,128.797,28,292.593,0,292.593,22.1994,
training,20,Z1,Paria,F,Y,red,brown,L,L,novel,1062.7,1.77062,33,145.396,22.5994,33,454.989,0,42,257.594,23,343.591,0,14,25.1994,63.1984,22,401.19,0,24,62.7984,62.5984,23,343.591,0,14,25.1994,63.1984,343.591,25.1994,
training,20,Z2,Paria,F,Y,red,brown,R,L,familiar,299.041,0.498249,13,133.397,0,13,466.988,2.99992,81,328.392,15,458.789,2.99992,0,0,-,16,530.787,0.199994,0,0,-,0,0,-,15,458.789,2.99992,458.789,0,
training,20,Z3,Paria,F,Y,red,brown,L,L,novel,806.573,1.34387,21,237.594,0.999974,20,359.191,0,90,125.597,6,150.796,44.1989,18,120.797,0,9,166.396,41.9989,20,177.196,0,6,150.796,44.1989,18,120.797,0,150.796,120.797,
training,20,C1,AxQ,F,Y,blue,tan,L,L,novel,904.201,1.50654,0,0,-,0,0,-,53,313.392,29,41.199,1.79995,4,1.39996,121.197,28,295.793,0,6,10.5997,68.7983,29,41.199,1.79995,4,1.39996,121.197,41.199,1.39996,
